Date,Average,Gdp Per Capita
30-06-2006,6.857,904.49
06-07-2006,6.821,907.118
11-07-2006,6.786,909.745
17-07-2006,6.75,912.373
23-07-2006,7,912.373
25-07-2006,7,912.373
27-07-2006,7,915.001
29-07-2006,7,917.628
31-07-2006,7,920.256
03-08-2006,7,922.883
05-08-2006,7,925.511
07-08-2006,7,928.138
09-08-2006,7,930.766
12-08-2006,7,930.766
15-08-2006,7,930.766
18-08-2006,7,933.394
22-08-2006,7,936.021
25-08-2006,7,938.649
29-08-2006,7,941.276
01-09-2006,7,943.904
05-09-2006,7,946.531
08-09-2006,7,949.159
12-09-2006,7,949.159
17-09-2006,7,949.159
22-09-2006,7,951.787
28-09-2006,7,954.414
03-10-2006,7,957.042
09-10-2006,7,959.669
14-10-2006,7,962.297
20-10-2006,7,964.924
25-10-2006,7,967.552
31-10-2006,7,967.552
03-11-2006,7,967.552
06-11-2006,7,970.18
10-11-2006,7,972.807
13-11-2006,7,975.435
16-11-2006,7,978.063
20-11-2006,7,980.691
23-11-2006,7,983.318
26-11-2006,7,985.946
30-11-2006,7,985.946
02-12-2006,7,985.946
04-12-2006,7,988.574
06-12-2006,7,991.201
08-12-2006,7,993.829
11-12-2006,7,996.456
13-12-2006,7,999.084
15-12-2006,7,1001.711
17-12-2006,7,1004.339
20-12-2006,7,1004.339
24-12-2006,7,1004.339
29-12-2006,7,1006.967
02-01-2007,7,1009.594
07-01-2007,7,1012.222
11-01-2007,7,1014.849
16-01-2007,7,1017.477
20-01-2007,7,1020.104
25-01-2007,7,1022.732
30-01-2007,7,1022.732
01-02-2007,7,1020.296
03-02-2007,7,1020.644
05-02-2007,7,1020.992
07-02-2007,7,1021.34
10-02-2007,7,1021.688
12-02-2007,7,1022.036
14-02-2007,7,1022.384
16-02-2007,7,1022.732
19-02-2007,7,1020.296
21-02-2007,7,1017.86
23-02-2007,7,1018.208
25-02-2007,7,1018.556
27-02-2007,7,1018.904
01-03-2007,7,1019.252
03-03-2007,7,1019.6
05-03-2007,7,1019.948
07-03-2007,7,1020.296
09-03-2007,7,1017.86
14-03-2007,7,1015.425
19-03-2007,7,1015.773
24-03-2007,7,1016.121
29-03-2007,7,1016.469
03-04-2007,7,1016.816
08-04-2007,7,1017.164
13-04-2007,7,1017.512
